deputyid,deputyname,partyid,congress_cat,party_cat,female,tier,alternate,educ_level2,age,state2,unit_individual,leadership,leg_experience,leg_exp_cat,leg_exp_dum,exec_experience,exec_exp_cat,exec_exp_dum,immed_govpartycon,amb2nd_govpartycon,ambition_immediate2014,ambition_immediate2014_2,genderimmedambcat2,genderimmedambcat3,gender2ndambcat3,dum1997,dum2000,dum2003,dum2006,postquota,immedmayorwin,immeddiplocwin,immedsenatewin,immedgovwin,immedregwin,secondmayorwin,seconddiplocwin,seconddipfedwin,secondsenatewin,secondgovwin,firstposition,firstposition3,powerleader,leadertype,nonpowerlead,age_cem,female2,include,include2,sample2,cem_weights_cont1,cem_weights_cont2,samplecont1c,samplecont2c,cem_weights_cont1party,cem_weights_cont2party,samplecont1cp,samplecont2cp
353,Madrid Tovilla Arely PRI,PRI,1997-2000,PRI,1,0,0,at least some master's studies,45,Chiapas,0,1,2,1,1,1,1,1,0,dep & gov party not congr.,senador,senador,senate ballot access,senate ballot access,leg ballot access,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,ballotaccess-won,won election,0,other chair,1,40-59,1,0,0,1,1,1,1,1,1,1,1,1
354,Magaña Guerrero Pedro PRD,PRD,1997-2000,PRD,0,0,0,NA,45,Guanajuato,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,presidente municipal,presidente municipal,mayor ballot access,mayor/gov ballot access,other,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,0,0,0,1,0.6170847496521952,0.2919199027573412,1,1,0.518888888888889,0.6364168618266979,1,1
355,Maldonado Bautista Jesús Samuel PRD,PRD,1997-2000,PRD,0,0,0,licenciatura,56,Michoacan,0,0,0,0,0,1,1,1,1,dep & gov party congr.,state bureaucracy,state bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.20556003463823944,0.20647993121860717,1,1,0.44476190476190475,0.44549180327868854,1,1
356,Maldonado Ochoa Rodrigo PRD,PRD,1997-2000,PRD,0,1,0,licenciatura,65,Durango,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
358,Manríque Villarreal José Ernesto PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,58,Tamaulipas,0,0,1,1,1,1,1,1,1,dep & gov party congr.,senador,senador,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.48567177197978395,0.5130713442401754,1,1,0.41696428571428573,0.38980532786885247,1,1
359,Manríquez Guluarte Antonio Benjamín PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,45,Baja California Sur,0,0,4,2,1,2,2,1,0,dep & gov party not congr.,gobernador,gobernador,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.48567177197978395,0.5130713442401754,1,1,0.41696428571428573,0.38980532786885247,1,1
361,Martín Del Campo Castañeda José de Jesús PRD,PRD,1997-2000,PRD,0,0,0,at least some master's studies,49,DF,0,0,1,1,1,0,0,0,1,dep & gov party congr.,state bureaucracy,state bureaucracy,bur appt,bur appt,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.1763682745825603,1,1,0.3335714285714286,0,1,NA
362,Martínez Almazán Raúl PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,57,Mexico,0,0,1,1,1,0,0,0,1,dep & gov party congr.,national party,national party/nat. party leader,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.1763682745825603,1,1,0.47897435897435897,0.2386563231850117,1,1
363,Martínez Cázares Germán PAN,PAN,1997-2000,PAN,0,1,0,at least some doctoral studies,30,Michoacan,0,1,0,0,0,0,0,0,0,dep & gov party not congr.,national party,national party/nat. party leader,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,nonelected office,nonelected office,0,other chair,1,21-39,0,0,0,1,1.1755464480874318,0.7054730983302412,1,1,0.6671428571428571,0.7424863387978142,1,1
365,Martínez Cruz María Guadalupe Francisca PRI,PRI,1997-2000,PRI,1,1,0,licenciatura,48,Puebla,0,0,0,0,0,0,0,0,1,dep & gov party congr.,senador,senador,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
366,Martínez Miranda Alberto PRD,PRD,1997-2000,PRD,0,0,0,licenciatura,39,Mexico,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,diputado local,diputado local,deputy ballot access,deputy/regidor ballot access,other,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,21-39,0,0,0,1,0.4770333412528709,0.3892265370097882,1,1,0.8895238095238095,1.4849726775956285,1,1
368,Martínez Ortega Jesús Francisco PRI,PRI,1997-2000,PRI,0,0,0,tecnico,56,Chihuahua,0,0,0,0,0,0,0,0,1,dep & gov party congr.,diputado federal,diputado federal,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.6170847496521952,0.5863672505602006,1,1,0.6278991596638656,0.8099850968703428,1,1
369,Martínez Tadeo José Ignacio PRI,PRI,1997-2000,PRI,0,0,0,tecnico,53,Sonora,0,0,3,2,1,0,0,0,1,dep & gov party congr.,national party,national party/nat. party leader,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.1763682745825603,1,1,0.47897435897435897,0.2386563231850117,1,1
370,Martínez Torres Adoración PRI,PRI,1997-2000,PRI,1,0,0,preparatoria,61,San Luis Potosi,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,1,0,0,NA,1,1,NA,NA,1,1,NA,NA
371,Martínez y Martínez Enrique PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,49,Coahuila,0,0,1,1,1,2,2,1,1,dep & gov party congr.,gobernador,gobernador,gub/pres ballot access,mayor/gov ballot access,other,1,0,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,0.48567177197978395,0.43413729128014844,1,1,0.41696428571428573,0.4049925484351714,1,1
372,Matamoros Castillo Martín PAN,PAN,1997-2000,PAN,0,0,0,estudios de licenciatura,58,Mexico,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,regidor,regidor/sindico,regidor ballot access,deputy/regidor ballot access,NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,NA,0.6170847496521952,0.8062549695202756,1,NA,0.3406686930091185,0.44549180327868854,1,NA
373,May López María del Socorro PRI,PRI,1997-2000,PRI,1,1,0,licenciatura,37,Tabasco,0,0,0,0,0,0,0,0,1,dep & gov party congr.,senador,senador,senate ballot access,senate ballot access,other,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,21-39,1,0,0,1,1,1,1,1,1,1,1,1
374,Mayer Soto Héctor PRI,PRI,1997-2000,PRI,0,0,0,secundaria,70,Sonora,0,0,0,0,0,1,1,1,1,NA,state party,state party/state party leader,other,other,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
375,Meade García de León Dionisio Alfredo PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,53,DF,0,1,0,0,0,0,0,0,0,dep & gov party not congr.,congressional staff,congressional staff,other,other,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,1,power chair,0,40-59,0,0,0,1,1.1399238284484186,0.7054730983302412,1,1,0,0,NA,NA
376,Medina Plascencia Carlos PAN,PAN,1997-2000,PAN,0,1,0,at least some master's studies,42,Guanajuato,0,1,0,0,0,2,2,1,1,dep & gov party congr.,senador,senador,senate ballot access,senate ballot access,other,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,1,jcp/mdpres,0,40-59,0,0,0,1,1.5673952641165756,0,1,NA,5.337142857142857,0,1,NA
377,Medina Serrano Olga PRD,PRD,1997-2000,PRD,1,0,0,licenciatura,48,Mexico,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,regidor,regidor/sindico,regidor ballot access,deputy/regidor ballot access,NA,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,1,0,0,NA,1,1,1,NA,1,1,1,NA
378,Medina Torres Jorge Galo PRI,PRI,1997-2000,PRI,0,1,0,at least some doctoral studies,46,Coahuila,0,0,0,0,0,1,1,1,1,dep & gov party congr.,state party leader,state party/state party leader,party leader,cabinet/party leader,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,appointed executive,lost/appt. exec.,0,not a leader,0,40-59,0,0,0,1,1.044930176077717,1.6931354359925788,1,1,0.44476190476190475,0.7424863387978142,1,1
379,Mendoza Ayala Eduardo PAN,PAN,1997-2000,PAN,0,0,0,at least some master's studies,38,Mexico,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,municipal bureaucracy,municipal bureaucracy,other,other,exec ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,21-39,0,0,0,1,0.4770333412528709,0.5521093813019279,1,1,0.17216589861751153,0.19654050144648025,1,1
380,Mendoza Ayala Rubén PAN,PAN,1997-2000,PAN,0,0,0,at least some master's studies,36,Mexico,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,presidente municipal,presidente municipal,mayor ballot access,mayor/gov ballot access,leg ballot access,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,ballotaccess-won,won election,0,not a leader,0,21-39,0,0,0,1,0.4770333412528709,0.3892265370097882,1,1,0.17216589861751153,0.10606947697111631,1,1
381,Meneses Murillo Luis PRD,PRD,1997-2000,PRD,0,0,0,licenciatura,47,Sonora,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,state bureaucracy,state bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.6170847496521952,0.5863672505602006,1,1,0.518888888888889,0.35639344262295086,1,1
382,Mier Velasco Moisés Ignacio PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,36,Puebla,0,0,1,1,1,1,1,1,1,dep & gov party congr.,diputado local,diputado local,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,21-39,0,0,0,1,0.5224650880388585,0.6270871985157699,1,1,0.4105494505494506,0.3712431693989071,1,1
383,Millán Escalante Ernesto Alfonso PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,69,Sinaloa,0,0,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
384,Mirón Lince Benito PRD,PRD,1997-2000,PRD,0,0,0,licenciatura,50,DF,0,1,0,0,0,0,0,0,1,dep & gov party congr.,diputado local,diputado local,deputy ballot access,deputy/regidor ballot access,bur appt,1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,other chair,1,40-59,0,0,0,1,0.19592440801457195,0,1,NA,0.5337142857142857,0,1,NA
385,Moctezuma Andrade Salvador PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,63,Veracruz,0,0,0,0,0,1,1,1,1,dep & gov party congr.,business,non-political position,other,other,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
386,Monjarás Hernández Raúl PAN,PAN,1997-2000,PAN,0,1,0,licenciatura,43,Jalisco,0,0,0,0,0,0,0,0,1,dep & gov party congr.,regidor,regidor/sindico,regidor ballot access,deputy/regidor ballot access,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,1,NA,0,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,1.5915090374106766,0.4031274847601378,1,1,2.168214285714286,1.1137295081967213,1,1
387,Montalvo Rojas Victorio Rubén PRD,PRD,1997-2000,PRD,0,0,0,licenciatura,31,DF,0,1,0,0,0,0,0,0,1,dep & gov party congr.,state bureaucracy,state bureaucracy,bur appt,bur appt,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,1,jcp/mdpres,0,21-39,0,0,0,1,1.044930176077717,0,1,NA,1.3342857142857143,0,1,NA
388,Montaño Yamuni Joaquín PAN,PAN,1997-2000,PAN,0,0,0,licenciatura,45,Sinaloa,0,1,0,0,0,0,0,0,0,dep & gov party congr.,senador,senador,senate ballot access,senate ballot access,other,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,other chair,1,40-59,0,0,0,1,0.19592440801457195,0,1,NA,0,0,NA,NA
389,Montejo Blanco José Jesús PAN,PAN,1997-2000,PAN,0,1,0,licenciatura,42,Campeche,0,0,0,0,0,1,1,1,0,dep & gov party not congr.,senador,senador,senate ballot access,senate ballot access,bur appt,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,0,0,0,1,1.044930176077717,1.6931354359925788,1,1,0,0,NA,NA
390,Mora Aguirre Martín PRD,PRD,1997-2000,PRD,0,1,0,licenciatura,39,Guerrero,0,0,0,0,0,0,0,0,0,dep & gov party congr.,state party leader,state party/state party leader,party leader,cabinet/party leader,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,appointed executive,lost/appt. exec.,0,not a leader,0,21-39,0,0,0,1,2.1595223638939487,1.128756957328386,1,1,2.6685714285714286,0.3712431693989071,1,1
391,Morales Aceves Francisco Javier PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,50,Jalisco,0,0,2,1,1,1,1,1,0,dep & gov party not congr.,senador,senador,senate ballot access,senate ballot access,other,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,0,0,0,1,0.3483100586925723,0,1,NA,0.555952380952381,0,1,NA
392,Morales Vázquez Carlos Orsoe PRD,PRD,1997-2000,PRD,0,0,0,at least some master's studies,40,Chiapas,0,0,1,1,1,0,0,0,0,dep & gov party congr.,regidor,regidor/sindico,regidor ballot access,deputy/regidor ballot access,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,1,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.2565356721200877,1,1,0.3335714285714286,0,1,NA
393,Moreno Contreras María del Carmen PRI,PRI,1997-2000,PRI,1,0,0,licenciatura,64,Guanajuato,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,1,0,0,NA,1,1,NA,NA,1,1,NA,NA
394,Moreno Garavilla Jaime Miguel PRI,PRI,1997-2000,PRI,0,1,0,at least some doctoral studies,40,DF,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,diputado local,diputado local,deputy ballot access,deputy/regidor ballot access,leg ballot access,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,1.5915090374106766,0.4031274847601378,1,1,0.7116190476190476,0,1,NA
395,Moreno Navarro Mario Elías PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,47,Chiapas,0,0,1,1,1,0,0,0,1,dep & gov party not congr.,state party,state party/state party leader,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.1763682745825603,1,1,0.47897435897435897,0.2386563231850117,1,1
396,Moreno Peralta J. Vicente PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,52,Mexico,0,0,0,0,0,1,1,1,1,dep & gov party congr.,business,non-political position,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,1.044930176077717,0.9406307977736549,1,1,0.44476190476190475,0,1,NA
398,Morgado Huesca Gonzalo PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,48,Veracruz,0,0,2,1,1,2,2,1,1,dep & gov party congr.,congressional staff,congressional staff,other,other,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.48567177197978395,0.5130713442401754,1,1,0.41696428571428573,0.38980532786885247,1,1
399,Morgan Franco Rocío del Carmen PAN,PAN,1997-2000,PAN,1,1,0,licenciatura,30,Jalisco,0,1,0,0,0,0,0,0,1,dep & gov party congr.,state bureaucracy,state bureaucracy,bur appt,bur appt,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,other chair,1,21-39,1,0,0,1,1,1,1,1,1,1,1,1
400,Mota Sánchez Ramón PRI,PRI,1997-2000,PRI,0,1,0,at least some master's studies,75,Mexico,0,1,1,1,1,0,0,0,1,NA,senador,senador,senate ballot access,senate ballot access,NA,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,other chair,1,60-95,0,0,0,NA,0,0,NA,NA,0,0,NA,NA
401,Muñoz Fernández Lourdes Angelina PRI,PRI,1997-2000,PRI,1,1,0,licenciatura,41,Sonora,0,0,0,0,0,1,1,1,1,dep & gov party congr.,presidente municipal,presidente municipal,mayor ballot access,mayor/gov ballot access,leg ballot access,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
403,"Muñoz Ledo Porfirio PRD (Muñoz Ledo y Lazo de la Vega, Porfirio Alejandro)",PRD,1997-2000,PRD,0,1,0,at least some doctoral studies,64,DF,0,1,2,1,1,2,2,1,1,dep & gov party congr.,presidente,president,gub/pres ballot access,mayor/gov ballot access,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,1,jcp/mdpres,0,60-95,0,0,0,1,0,0,NA,NA,0,0,NA,NA
404,Muñoz Parra María Verónica PRI,PRI,1997-2000,PRI,1,0,0,licenciatura,42,Guerrero,0,0,1,1,1,1,1,1,1,dep & gov party congr.,senador,senador,other,other,appointed exec,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
406,Nava González Ramón María PAN,PAN,1997-2000,PAN,0,1,0,at least some master's studies,61,Coahuila,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,0,0,0,1,0,0,NA,NA,0,0,NA,NA
407,Navarro Quintero Miguel Angel PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,46,Nayarit,0,0,0,0,0,1,1,1,0,dep & gov party not congr.,gobernador,gobernador,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.20556003463823944,0.20647993121860717,1,1,0.12129870129870131,0.07680893159977388,1,1
408,Nazar Morales Julián PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,42,Chiapas,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,diputado local,diputado local,deputy ballot access,deputy/regidor ballot access,leg ballot access,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,1.5915090374106766,0.4031274847601378,1,1,0.7116190476190476,0,1,NA
409,Neyra Chávez Armando PRI,PRI,1997-2000,PRI,0,1,0,primaria,60,Mexico,0,0,3,2,1,0,0,0,1,dep & gov party congr.,national party,national party/nat. party leader,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,0,0,0,1,0,0,NA,NA,0,0,NA,NA
410,Noyola Martínez David Miguel PRD,PRD,1997-2000,PRD,0,0,0,licenciatura,40,Mexico,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,social movement,activist/ngo/social movement,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.6170847496521952,0.5863672505602006,1,1,0.518888888888889,0.35639344262295086,1,1
411,Núñez Casas Teresa PRI,PRI,1997-2000,PRI,1,0,0,tecnico,47,Jalisco,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,diputado federal,diputado federal,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
412,Núñez Jiménez Arturo PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,49,Tabasco,0,1,0,0,0,0,0,0,1,dep & gov party congr.,business,non-political position,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,nonelected office,nonelected office,1,jcp/mdpres,0,40-59,0,0,0,1,0.19592440801457195,0.2565356721200877,1,1,0,0,NA,NA
413,Núñez Ramos María de la Luz PRD,PRD,1997-2000,PRD,1,0,0,estudios de licenciatura,49,Guerrero,0,0,1,1,1,1,1,1,0,NA,municipal bureaucracy,municipal bureaucracy,other,other,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,1,0,0,NA,1,1,1,NA,1,1,1,NA
417,Ocampo Aranda Ma. Gloria Bernardita PAN,PAN,1997-2000,PAN,1,1,0,licenciatura,48,Guerrero,0,1,0,0,0,1,1,1,0,dep & gov party not congr.,senador,senador,senate ballot access,senate ballot access,bur appt,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,other chair,1,40-59,1,0,0,1,1,1,1,1,1,0,1,NA
418,Oceguera Ramos Gil Rafael PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,47,Sinaloa,0,0,2,1,1,0,0,0,1,dep & gov party congr.,senador,senador,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.1763682745825603,1,1,0.47897435897435897,0.2386563231850117,1,1
419,Oliva Fragoso Silvia PRD,PRD,1997-2000,PRD,1,1,0,at least some master's studies,50,DF,0,0,0,0,0,0,0,0,1,dep & gov party congr.,academic,non-political position,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
420,Olvera Acevedo José Marco Antonio PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,46,Zacatecas,0,0,2,1,1,2,2,1,0,dep & gov party congr.,gobernador,gobernador,gub/pres ballot access,mayor/gov ballot access,leg ballot access,1,0,0,0,0,NA,NA,NA,0,NA,NA,1,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,0,0,0,1,0.3483100586925723,0,1,NA,0.555952380952381,0,1,NA
422,Olvera Pérez Jesús Salvador PAN,PAN,1997-2000,PAN,0,0,0,tecnico,45,Queretaro,0,1,0,0,0,1,1,1,1,dep & gov party congr.,gobernador,gobernador,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,other chair,1,40-59,0,0,0,1,0,0,NA,NA,0,0,NA,NA
423,Ontiveros y Romo Ricardo Arturo PAN,PAN,1997-2000,PAN,0,0,0,at least some master's studies,50,Guanajuato,0,0,0,0,0,0,0,0,1,dep & gov party congr.,senador,senador,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.6170847496521952,0.5863672505602006,1,1,0.3406686930091185,0.3299939283545841,1,1
424,Ordaz Hernández Francisco Antonio PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,43,Guanajuato,0,0,1,1,1,1,1,1,0,dep & gov party not congr.,state bureaucracy,state bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.48567177197978395,0.5130713442401754,1,1,0.41696428571428573,0.38980532786885247,1,1
425,Ordaz Montes de Oca Salvador PRI,PRI,1997-2000,PRI,0,1,0,at least some doctoral studies,46,Campeche,0,0,0,0,0,0,0,0,1,dep & gov party congr.,senador,senador,other,other,leg ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,1.5915090374106766,1.6033479507505484,1,1,0.7116190476190476,0.7424863387978142,1,1
427,Ordorica Saavedra Alejandro Victoriano PRD,PRD,1997-2000,PRD,0,0,0,licenciatura,51,DF,0,1,0,0,0,2,2,1,1,dep & gov party congr.,gobernador,gobernador,gub/pres ballot access,mayor/gov ballot access,bur appt,1,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,other chair,1,40-59,0,0,0,1,0,0,NA,NA,0,0,NA,NA
